timestamp,open,high,low,close,volume
2025-07-07 12:00:00,152.79,152.86,151.42,151.69,74919.344
2025-07-07 13:00:00,151.69,153.43,151.2,153.07,122114.802
2025-07-07 14:00:00,153.07,153.34,151.59,151.68,127809.752
2025-07-07 15:00:00,151.68,152.38,151.02,151.07,95525.852
2025-07-07 16:00:00,151.07,151.59,149.69,150.35,159766.301
2025-07-07 17:00:00,150.36,150.85,149.63,149.99,136041.994
2025-07-07 18:00:00,149.98,150.33,149.04,150.13,85103.393
2025-07-07 19:00:00,150.12,151.07,148.63,148.97,181032.983
2025-07-07 20:00:00,148.96,148.96,147.77,148.36,146199.771
2025-07-07 21:00:00,148.36,148.82,147.76,148.6,118247.192
2025-07-07 22:00:00,148.59,148.62,147.7,148.47,87123.7
2025-07-07 23:00:00,148.47,148.9,148.44,148.88,63457.237
2025-07-08 00:00:00,148.89,150.1,148.74,149.17,92012.383
2025-07-08 01:00:00,149.16,149.32,148.62,148.74,57585.048
2025-07-08 02:00:00,148.74,149.3,147.85,147.99,80349.395
2025-07-08 03:00:00,147.98,148.98,147.94,148.64,61776.776
2025-07-08 04:00:00,148.64,149.07,148.2,149.02,45050.429
2025-07-08 05:00:00,149.02,149.38,148.58,149.25,46233.707
2025-07-08 06:00:00,149.24,149.61,149.02,149.27,54645.387
2025-07-08 07:00:00,149.26,149.75,148.86,149.66,49561.005
2025-07-08 08:00:00,149.65,150.28,149.54,149.91,92266.428
2025-07-08 09:00:00,149.9,150.58,149.7,150.21,94792.535
2025-07-08 10:00:00,150.22,151.3,150.21,151.13,144495.577
2025-07-08 11:00:00,151.13,151.67,150.98,151.31,154306.854
2025-07-08 12:00:00,151.31,152.48,151.25,152.41,170486.307
2025-07-08 13:00:00,152.41,152.88,151.51,152.03,170129.655
2025-07-08 14:00:00,152.02,152.08,150.52,150.83,176128.585
2025-07-08 15:00:00,150.82,151.15,149.77,149.83,90115.814
2025-07-08 16:00:00,149.84,150.55,149.03,150.51,216422.007
2025-07-08 17:00:00,150.51,152.25,150.44,152.06,195047.388
2025-07-08 18:00:00,152.06,152.83,151.72,152.81,101182.427
2025-07-08 19:00:00,152.81,152.81,151.32,151.63,97381.002
2025-07-08 20:00:00,151.63,151.68,150.0,150.01,187150.323
2025-07-08 21:00:00,150.01,150.91,150.0,150.81,201646.75
2025-07-08 22:00:00,150.81,151.55,150.52,151.55,65038.165
2025-07-08 23:00:00,151.55,151.94,151.29,151.67,69065.376
2025-07-09 00:00:00,151.68,151.75,151.06,151.7,50013.77
2025-07-09 01:00:00,151.71,152.34,151.11,151.47,53448.09
2025-07-09 02:00:00,151.48,152.2,151.36,151.8,39666.737
2025-07-09 03:00:00,151.8,152.2,151.21,151.29,60521.391
2025-07-09 04:00:00,151.29,151.46,150.53,151.17,101194.702
2025-07-09 05:00:00,151.16,153.88,151.14,153.15,299902.288
2025-07-09 06:00:00,153.15,153.46,152.38,152.92,110220.482
2025-07-09 07:00:00,152.92,153.25,152.61,153.01,57167.029
2025-07-09 08:00:00,153.01,153.14,152.34,152.47,60968.657
2025-07-09 09:00:00,152.48,152.96,152.33,152.87,47742.238
2025-07-09 10:00:00,152.86,153.24,152.57,153.16,73882.249
2025-07-09 11:00:00,153.16,154.43,153.05,153.73,119093.785
2025-07-09 12:00:00,153.74,154.63,153.33,154.06,176954.42
2025-07-09 13:00:00,154.06,154.88,153.61,153.77,201902.619
2025-07-09 14:00:00,153.76,155.53,152.87,153.74,270411.022
2025-07-09 15:00:00,153.74,154.55,153.37,153.97,95647.741
2025-07-09 16:00:00,153.98,155.02,153.66,154.87,110205.067
2025-07-09 17:00:00,154.87,154.92,153.23,153.64,79735.544
2025-07-09 18:00:00,153.65,155.28,153.56,154.66,127311.032
2025-07-09 19:00:00,154.65,157.86,154.58,157.27,305932.148
2025-07-09 20:00:00,157.26,157.52,155.46,156.04,205884.59
2025-07-09 21:00:00,156.03,157.59,156.0,156.75,97463.537
2025-07-09 22:00:00,156.74,157.93,156.74,157.66,87314.704
2025-07-09 23:00:00,157.66,157.93,157.0,157.05,74635.906
2025-07-10 00:00:00,157.06,157.52,155.93,155.94,76179.126
2025-07-10 01:00:00,155.94,157.87,155.93,157.61,79172.26
2025-07-10 02:00:00,157.62,159.34,157.61,158.31,125581.623
